images,institutionCode,sex,preparations,eventDate,year,month,day,country,stateProvince,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,scientificName,infraspecificEpithet
,NMV,Male,Skin | Dry,26/01/1911,1911,1,26,Australia,Queensland,,,,Accipiter fasciatus didimus,Accipiter (Leucospiza) fasciatus didimus,didimus
,NMV,Female,Skin | Dry,3/01/1916,1916,1,3,Australia,New South Wales,-32.05,149.25,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,SAMA,Unknown,Skeleton,1/01/2003,2003,1,,Australia,Northern Territory,-22.7167,131.1167,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,WAM,,Wet; Formalin & Alcohol,1/01/2012,2012,1,1,Christmas Island,,-10.5,105.666667,EPSG:4326,,Accipiter (Leucospiza) fasciatus,natalis
,ANWC,male,skin,26/01/1995,1995,1,26,Australia,New South Wales,-28.585,153.4117,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,ANWC,female,skin,8/01/1971,1971,1,8,Australia,New South Wales,-36.3417,148.6167,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,SAMA,Male,Skin,17/01/1946,1946,1,17,Australia,South Australia,-34.9667,138.6167,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,QM,Female,Skin,1890-01-01,1890,1,1,Papua New Guinea,,,,,Accipiter novaehollandiae leucosomus,Accipiter (Leucospiza) novaehollandiae,leucosomus
,NMV,Female,Skin | Dry,17/01/2002,2002,1,17,Australia,Victoria,-38.62,142.98,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,ANWC,female,skin,18/01/1972,1972,1,18,Australia,New South Wales,-36.7333,148.4333,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,NMV,Male,Skin | Dry,16/01/1919,1919,1,16,Australia,New South Wales,-31.98,151.12,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
